CBSA,CITY,STATE,CITYSTATE,NETMIG2020,NETMIG2021,TOTALNETMIG,2020rank,2020census,2010census,Change,2020 land area,2020 population density,Location,Unemployment Rate (August 2021),Change in Unemployment (August 2021 vs August 2019),Change in Unemployment (August 2021 vs January 2020),Change in Unemployment (August 2021 vs August 2020),Adjusted Unemployment Rate* (August 2021),Effective Real-Estate Tax Rate,Annual Taxes on $217.5K Home*,State Median Home Value,Annual Taxes on Home Priced at State Median Value,ZHVI,ZORI,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_dom_mm_day,median_days_on_market_yy,median_dom_yy_day,median_dom_vs_us,ldp_unique_viewers_per_property_mm,ldp_unique_viewers_per_property_yy,ldp_unique_viewers_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us,quality_flag
18700,Corvallis,OR,"Corvallis, OR",-24,916,892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97%,"$2,116","$312,200","$3,037",496752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49660,Youngstown,OH,"Youngstown, OH",-514,1395,881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56%,"$3,390","$145,700","$2,271",138339,905,94,224,-20,-43,33.444816,13.712374581939798,53.17725752508361,70,0.01449275362318847,1,-0.08496732026143794,-6.5,23,0.12005113638408438,-0.13518990520866123,1.0246,118000,-0.01584653878231856,-0.10909777274443189,0.3007,1
42140,Santa Fe,NM,"Santa Fe, NM",253,626,879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80%,"$1,740","$171,400","$1,371",501312,NA,248,159,-21,77,47.993311,7.6923076923076925,88.2943143812709,80,0.05263157894736836,4,-0.23444976076555024,-24.5,33,0.08303364269389779,0.493473211806049,1.5375,967500,0.30743243243243246,0.4885760443111009,2.4653,1
22180,Fayetteville,NC,"Fayetteville, NC",-718,1593,875,110,"208,501","200,564",+3.96%,148.3 sq mi,"1,406/sq mi",35°05′N 78°58′W﻿ / ﻿35.08°N 78.97°W﻿ / 35.08; -78.97﻿ (Fayetteville),7.10%,20.22%,34.43%,-29.29%,7.51%,0.84%,"$1,833","$172,500","$1,454",175562,NA,134,85,20,23,64.548495,69.23076923076923,59.86622073578596,36.5,-0.27,-13.5,-0.2551020408163265,-12.5,-10.5,0.2572618275370411,0.07851257620080432,1.0966,229900,0.02633928571428567,0.06189376443418015,0.5858,0
26980,Iowa City,IA,"Iowa City, IA",-140,1007,867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57%,"$3,407","$147,800","$2,315",259575,NA,240,265,-86,-87,22.909699,44.14715719063545,1.6722408026755853,47.5,0.07954545454545459,3.5,0.3013698630136987,11,0.5,0.02229642663638742,0.03371835319601946,0.3202,307000,0.02709936433589832,0.06063223354638114,0.7823,1
11180,Ames,IA,"Ames, IA",1,827,828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57%,"$3,407","$147,800","$2,315",240123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11100,Amarillo,TX,"Amarillo, TX",52,769,821,121,"200,393","190,695",+5.09%,102.3 sq mi,"1,959/sq mi",35°11′N 101°50′W﻿ / ﻿35.19°N 101.83°W﻿ / 35.19; -101.83﻿ (Amarillo),3.60%,37.45%,41.55%,-12.60%,3.81%,1.80%,"$3,907","$172,500","$3,099",189726,NA,181,113,-4,31,57.35786,79.59866220735786,35.11705685618729,33.5,-0.2717391304347826,-12.5,-0.2298850574712644,-10,-13.5,0.08455981898769571,0.13794743287805966,0.8396,345000,0.04863221884498481,0.08627204030226698,0.8791,0
19460,Decatur,AL,"Decatur, AL",85,733,818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41%,$895,"$142,700",$587,180634,NA,266,70,15,34,68.561873,79.59866220735786,57.52508361204013,33.5,-0.32999999999999996,-16.5,-0.3163265306122449,-15.5,-13.5,0.09932411352636784,0.04252306311826803,1.0751,264950,0.02100192678227364,0.16487140030776004,0.6751,0
39820,Redding,CA,"Redding, CA",-81,887,806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76%,"$1,644","$505,000","$3,818",374868,NA,227,254,7,-129,25.41806,32.10702341137124,18.729096989966553,53.5,-0.17692307692307696,-11.5,0.202247191011236,9,6.5,0.05881743045636112,-0.2324933322650503,0.6548,472000,0.06067415730337089,0.09032109032109026,1.2027,1
25540,Hartford,CT,"Hartford, CT",-1497,2289,792,235,"121,054","124,775",−2.98%,17.4 sq mi,"6,957/sq mi",41°46′N 72°41′W﻿ / ﻿41.76°N 72.68°W﻿ / 41.76; -72.68﻿ (Hartford),NA,NA,NA,NA,NA,2.14%,"$4,658","$275,400","$5,898",302469,1546,48,104,37,34,59.866221,36.12040133779264,83.61204013377926,51,-0.29166666666666663,-21,-0.01923076923076927,-1,4,0.09882411326305364,0.5388273590489268,1.4389,364950,0.04301228922549294,0.21690563521173736,0.9299,0
